Year,Subject,Country,Score,Rank
2006,Maths,Albania,,
2006,Maths,Algeria,,
2006,Maths,Argentina,,
2006,Maths,Australia,520.0,12.0
2006,Maths,Austria,505.0,17.0
2006,Maths,China B-S-J-G,,
2006,Maths,Belgium,520.0,11.0
2006,Maths,Brazil,370.0,50.0
2006,Maths,Bulgaria,413.0,43.0
2006,Maths,Argentina CABA,,
2006,Maths,Canada,527.0,7.0
2006,Maths,Chile,411.0,44.0
2006,Maths,Taiwan,549.0,1.0
2006,Maths,Colombia,370.0,49.0
2006,Maths,Costa Rica,,
2006,Maths,Croatia,467.0,34.0
2006,Maths,Cyprus,,
2006,Maths,Czech Republic,510.0,15.0
2006,Maths,Denmark,513.0,14.0
2006,Maths,Dominican Republic,,
2006,Maths,Estonia,515.0,13.0
2006,Maths,Finland,548.0,2.0
2006,Maths,France,496.0,22.0
2006,Maths,Macedonia,,
2006,Maths,Georgia,,
2006,Maths,Germany,504.0,19.0
2006,Maths,Greece,459.0,37.0
2006,Maths,Hong Kong,547.0,3.0
2006,Maths,Hungary,491.0,26.0
2006,Maths,Iceland,506.0,16.0
2006,Maths,Indonesia,391.0,47.0
2006,Maths,Ireland,501.0,21.0
2006,Maths,Israel,442.0,38.0
2006,Maths,Italy,462.0,36.0
2006,Maths,Japan,523.0,9.0
2006,Maths,Jordan,384.0,48.0
2006,Maths,Kazakhstan,,
2006,Maths,South Korea,547.0,4.0
2006,Maths,Kosovo,,
2006,Maths,Latvia,486.0,30.0
2006,Maths,Lebanon,,
2006,Maths,Lithuania,486.0,29.0
2006,Maths,Luxembourg,490.0,27.0
2006,Maths,Macau,525.0,8.0
2006,Maths,Malaysia,,
2006,Maths,Malta,,
2006,Maths,Mexico,406.0,45.0
2006,Maths,Moldova,,
2006,Maths,Montenegro,399.0,46.0
2006,Maths,Netherlands,531.0,5.0
2006,Maths,New Zealand,522.0,10.0
2006,Maths,Norway,490.0,28.0
2006,Maths,Peru,,
2006,Maths,Poland,495.0,24.0
2006,Maths,Portugal,466.0,35.0
2006,Maths,Qatar,318.0,52.0
2006,Maths,Romania,415.0,42.0
2006,Maths,Russia,476.0,32.0
2006,Maths,Singapore,,
2006,Maths,Slovakia,492.0,25.0
